id,code,name,supplier,image_path,image_count,has_y_source,y_file_count,y_paths,review_status
1921,IT15901,Gạch 150x900mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/2239dbaa89357147ad433fa08ab008da9632e09f210fb63d79aef948d4caf5e5.webp,2,yes,4,Gạch Tiến Thành\Gạch Gỗ\IT15901.jpg || Gạch Tiến Thành\Gạch Gỗ\IT15901_2.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT15901.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT15901_2.jpg,
1922,IT15902,Gạch 150x900mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/bfeafc3f9d60e7c6dd51486f676f12c88c8c76f383b69f4d0c34d821363ccbc1.webp,2,yes,4,Gạch Tiến Thành\Gạch Gỗ\IT15902.jpg || Gạch Tiến Thành\Gạch Gỗ\IT15902_2.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT15902.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT15902_2.jpg,
1923,IT15903,Gạch 150x900mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/45bfcee693b596ab36d4660a0d31d0ac6dbb9f99c47673e41102fa8b87e67f79.webp,2,yes,4,Gạch Tiến Thành\Gạch Gỗ\IT15903.jpg || Gạch Tiến Thành\Gạch Gỗ\IT15903_2.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT15903.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT15903_2.jpg,
1924,IT21001,Gạch 200x1000mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/1e527554d32d0b0dec7b8a34b81c5baa9c01fc5a41b37b502747ade9bc1f7bb6.webp,2,yes,4,Gạch Tiến Thành\Gạch Gỗ\IT21001.jpg || Gạch Tiến Thành\Gạch Gỗ\IT21001_2.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT21001.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT21001_2.jpg,
1925,IT21002,Gạch 200x1000mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/8778c9365d12fa092edfa53f9db6cbfc93d9de4b1b8e0441c94ae5f11d8870fb.webp,2,yes,4,Gạch Tiến Thành\Gạch Gỗ\IT21002.jpg || Gạch Tiến Thành\Gạch Gỗ\IT21002_2.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT21002.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT21002_2.jpg,
1926,IT21003,Gạch 200x1000mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/25ab9f42cfbba7bfad1f894d80ecfb685b993306865cf79f60979de19e62d5f3.webp,2,yes,4,Gạch Tiến Thành\Gạch Gỗ\IT21003.jpg || Gạch Tiến Thành\Gạch Gỗ\IT21003_2.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT21003.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT21003_2.jpg,
1927,IT61201,Gạch 600x1200mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/b24a7bd63838cf42a11913be03cc7f08064189d59422a324bea0f764f1d236fe.webp,6,yes,8,Gạch Tiến Thành\Gạch Gỗ\IT61201.jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61201 (2).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61201 (3).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61201 (4).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61201 (5).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61201 (6).jpg || Gạch Tiến Thành\Gạch Gỗ\MAP\IT61201.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT61201.jpg,
1928,IT61202,Gạch 600x1200mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/4253dccc831d48a43d839576ed18f1427f71a303de3c2a2f807777698df803f9.webp,6,yes,8,Gạch Tiến Thành\Gạch Gỗ\IT61202.jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61202 (1).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61202 (3).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61202 (4).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61202 (5).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61202 (6).jpg || Gạch Tiến Thành\Gạch Gỗ\MAP\IT61202.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT61202.jpg,
1929,IT61203,Gạch 600x1200mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/a8a04737ddd7071bb682bd392e0fce5b3b6380c31349d747af080370fb28f7a9.webp,4,yes,6,Gạch Tiến Thành\Gạch Gỗ\IT61203.jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61203 (1).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61203 (3).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61203 (4).jpg || Gạch Tiến Thành\Gạch Gỗ\MAP\IT61203.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT61203.jpg,
1930,IT61204,Gạch 600x1200mm Mờ,Tiến Thành,https://sbphnbtbetilifomsysa.supabase.co/storage/v1/object/public/crm-images/crm/265642773972914ecc2f7d32cdacaec4153fdf01cdb9a00fa66dcc68664b3ee1.webp,6,yes,10,gạch ốp lát - tháng 10\IT61204 - IK61202.jpg || Gạch Tiến Thành\Gạch Gỗ\IT61204.jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61204 (1).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61204 (3).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61204 (4).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61204 (5).jpg || Gạch Tiến Thành\Gạch Gỗ\PHỐI CẢNH XƯƠNG CÁ 600X1200MM\IT61204 (6).jpg || Gạch Tiến Thành\Gạch Gỗ\MAP\IT61204.jpg || Gạch Tiến Thành\Gạch Gỗ\hình gốc\IT61204.jpg || Gạch Kiệt Anh\IT61204 - IK61202.jpg,
